category,question,answer,last_updated
CCTV,What does the standard CCTV AMC plan include?,"The standard CCTV AMC plan includes quarterly on-site inspection, firmware updates, and free repair of up to 2 camera units per year. Additional camera repairs are billed at standard rates.",2025-11-02
CCTV,What does the standard CCTV AMC plan include?,"Our standard CCTV Annual Maintenance Contract covers quarterly inspection visits, firmware updates, and complimentary repair for 2 cameras annually.",2025-11-02
CCTV,How quickly do you respond to a CCTV outage report?,"For AMC clients, we guarantee an on-site response within 24 hours for critical outages (e.g., full system down) and 72 hours for non-critical issues.",2025-09-14
CCTV,Do you offer 24/7 remote monitoring for CCTV systems?,"Yes, 24/7 remote monitoring is available as an add-on to any CCTV installation package, billed separately from the AMC.",2025-06-30
FTTH,How long does a standard FTTH installation take?,"A standard residential FTTH (Fiber-to-the-Home) installation takes 3-5 business days from site survey to activation, assuming no permitting delays.",2025-10-18
FTTH,What documents are needed before FTTH installation begins?,"We require proof of premises ownership or tenancy, a signed service agreement, and local right-of-way clearance if trenching is needed.",2024-02-11
FTTH,Can FTTH be installed in apartment buildings?,"Yes, FTTH can be installed in apartment buildings; installation timelines may extend to 7-10 business days depending on building management approval.",2025-10-18
Electrical,How long does a standard electrical installation take?,"A standard electrical installation for a small commercial unit takes 5-7 business days, including wiring, panel setup, and safety certification.",2025-08-22
Electrical,Do you provide solar installation alongside electrical work?,"Yes, we offer combined electrical and solar installation packages. A combined project typically takes 10-14 business days end-to-end.",2025-08-22
Electrical,What safety certifications are included after electrical installation?,"All electrical installations include a mandatory safety inspection certificate issued after final testing, valid for regulatory compliance purposes.",2024-01-15
WiFi,Do you provide Wi-Fi solutions for warehouses?,"Yes, we design and deploy industrial-grade Wi-Fi solutions for warehouses, including high-density access point placement for large open floor plans.",2025-12-01
WiFi,What is the typical Wi-Fi setup time for a small office?,"A small office Wi-Fi setup (up to 20 users) typically takes 1-2 business days including router configuration and access point placement.",2025-12-01
WiFi,Do you support mesh Wi-Fi networks?,"Yes, mesh Wi-Fi network setups are supported and recommended for spaces larger than 3,000 sq ft or with multiple floors.",2025-07-19
BPO,What are your standard BPO service hours?,"Our standard BPO support desk operates 9 AM to 9 PM IST, Monday through Saturday, with after-hours support available on request.",2025-05-10
BPO,How do clients escalate a BPO ticket?,"Clients can escalate tickets via the support portal or by emailing escalations directly; escalated tickets are reviewed within 4 business hours.",2025-05-10
DataCenter,What SLA do you offer for Data Center uptime?,"We offer a 99.9% uptime SLA for co-located data center services, with service credits applied for downtime beyond the agreed threshold.",2025-03-27
DataCenter,Do you offer data center migration services?,"Yes, we offer end-to-end data center migration services including planning, physical relocation, and post-migration validation testing.",2025-03-27
SmartCity,What is included in a typical Smart City pilot project?,"A typical Smart City pilot includes smart lighting, traffic sensor deployment, and a centralized monitoring dashboard for the pilot zone.",2023-11-05
SmartCity,How long do Smart City pilot projects typically run?,"Smart City pilot projects typically run for 6-12 months, followed by a review period before any city-wide expansion decision.",2023-11-05
StructuredCabling,Do you provide structured cabling certification after installation?,"Yes, all structured cabling installations are certified against TIA/EIA standards, with test reports provided to the client on completion.",2025-04-02
Cloud,What cloud platforms does the FinOps Control platform support?,"The FinOps Control platform currently supports AWS and Azure, with unified cost visibility and savings recommendations across both.",2026-01-15
Cloud,How much can clients typically save using FinOps Control?,"Clients typically see up to a 40% reduction in monthly cloud spend after onboarding, driven mainly by automated right-sizing recommendations.",2026-01-15
Cloud,How long does FinOps Control onboarding take?,"Standard onboarding takes 3-5 business days, including account connection, initial cost audit, and dashboard configuration.",2026-01-15
ITInfra,Do you provide on-site IT infrastructure support?,"Yes, on-site IT infrastructure support is available for AMC clients within a 50 km radius of our regional service centers.",2025-02-08
ITInfra,What is covered under a standard IT Infrastructure AMC?,"A standard IT Infrastructure AMC covers server hardware monitoring, quarterly preventive maintenance, and priority support ticket handling.",2025-02-08
CCTV,What camera resolutions are available for new CCTV installations?,"We offer 2MP, 4MP, and 8MP (4K) camera options for new CCTV installations, with 4MP being the most commonly deployed for commercial sites.",2025-11-02
FTTH,What internet speeds are supported over FTTH?,"Our FTTH infrastructure supports plans from 100 Mbps up to 1 Gbps symmetric, depending on the plan selected by the client.",2025-10-18
Solar,Do you offer solar maintenance plans?,"Yes, solar maintenance plans include quarterly panel cleaning, inverter health checks, and annual performance efficiency reporting.",2022-06-14
Solar,How long does residential solar installation take?,"Residential solar installation typically takes 4-6 business days including mounting, wiring, and grid connection approval.",2022-06-14
Solar,What warranty comes with new solar panel installations?,"New solar panel installations carry a 10-year workmanship warranty and a 25-year manufacturer performance warranty on the panels themselves.",2025-09-01
Solar,Do you support net metering for solar clients?,"Yes, we handle the full net metering application with the local utility provider as part of every new residential solar installation.",2025-09-01
BPO,What is the average ticket resolution time for BPO clients?,"Standard priority tickets are resolved within 24 business hours; urgent priority tickets carry a 4-hour resolution target.",2025-05-10
BPO,Do you support multiple languages for BPO service desks?,"Yes, our BPO service desks currently support English and Hindi, with regional language add-ons available for enterprise clients.",2025-05-10
BPO,How do clients escalate a support ticket?,"Support tickets can be escalated via the client portal or by emailing our escalations team; escalated tickets are reviewed within 4 business hours.",2025-05-10
DataCenter,What rack space options are available for co-location clients?,"We offer quarter-rack, half-rack, and full-rack co-location options, with custom cage configurations available for enterprise clients.",2025-03-27
DataCenter,What backup power guarantees are in place at the data center?,"Our data centers run N+1 redundant backup power with UPS and diesel generator failover, tested monthly as part of standard operations.",2025-03-27
DataCenter,Do you offer data center migration services?,"We provide full-service data center migration including planning, physical relocation, and post-migration validation testing for enterprise clients.",2025-03-27
ITInfra,Do you provide 24/7 network monitoring for IT infrastructure clients?,"Yes, 24/7 network monitoring with automated alerting is included in all IT Infrastructure AMC tiers above the basic plan.",2025-02-08
ITInfra,What is the typical hardware refresh cycle you recommend?,"We generally recommend a 4 to 5 year hardware refresh cycle for servers and core networking equipment under an active AMC.",2025-02-08
StructuredCabling,What cable categories do you support for structured cabling projects?,"We install and certify Cat6, Cat6a, and fiber-optic structured cabling, selected based on the client's bandwidth and distance requirements.",2025-04-02
StructuredCabling,Do you provide structured cabling certification after installation?,"All structured cabling installations are certified against TIA/EIA standards, with full test reports provided to the client upon completion.",2025-04-02
AccessControl,Do you install biometric access control systems?,"Yes, we install fingerprint and facial recognition access control systems for offices, data centers, and secured facility entrances.",2025-10-05
AccessControl,What is included in a standard access card system installation?,"A standard access card system installation includes card reader hardware, access control software setup, and up to 50 pre-programmed access cards.",2025-10-05
AccessControl,How long does access control installation typically take?,"Access control installation for a single-entrance office setup typically takes 2 to 3 business days including hardware mounting and software configuration.",2025-10-05
